2026-03-19 18:01:06,702 | main                 | INFO  | ======================================================================
2026-03-19 18:01:06,702 | main                 | INFO  |   CRYPTO STRATEGY RESEARCH — START
2026-03-19 18:01:06,702 | main                 | INFO  | ======================================================================
2026-03-19 18:01:06,703 | main                 | INFO  | 
[1/7] DataLoader — Téléchargement & cache
2026-03-19 18:01:07,050 | modules.data_loader  | INFO  | Binance Futures connecté — 693 marchés chargés
2026-03-19 18:01:07,051 | modules.data_loader  | INFO  | DataLoader initialisé — 4 assets, base_tf=5m
2026-03-19 18:01:07,051 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:01:07,051 | modules.data_loader  | INFO  | Chargement BTC/USDT
2026-03-19 18:01:07,051 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:01:07,051 | modules.data_loader  | INFO  | Téléchargement BTC/USDT 5m [2021-01-01 → 2025-01-01]
2026-03-19 18:01:07,673 | modules.data_loader  | INFO  |   BTC/USDT 5m — 1000 bougies téléchargées (→ 2021-01-04)
2026-03-19 18:01:10,554 | modules.data_loader  | INFO  |   BTC/USDT 5m — 10000 bougies téléchargées (→ 2021-02-04)
2026-03-19 18:01:10,818 | modules.data_loader  | INFO  |   BTC/USDT 5m — 11000 bougies téléchargées (→ 2021-02-08)
2026-03-19 18:01:13,629 | modules.data_loader  | INFO  |   BTC/USDT 5m — 20000 bougies téléchargées (→ 2021-03-11)
2026-03-19 18:01:14,516 | modules.data_loader  | INFO  |   BTC/USDT 5m — 21000 bougies téléchargées (→ 2021-03-14)
2026-03-19 18:01:16,954 | modules.data_loader  | INFO  |   BTC/USDT 5m — 30000 bougies téléchargées (→ 2021-04-15)
2026-03-19 18:01:17,216 | modules.data_loader  | INFO  |   BTC/USDT 5m — 31000 bougies téléchargées (→ 2021-04-18)
2026-03-19 18:01:19,875 | modules.data_loader  | INFO  |   BTC/USDT 5m — 40000 bougies téléchargées (→ 2021-05-19)
2026-03-19 18:01:20,282 | modules.data_loader  | INFO  |   BTC/USDT 5m — 41000 bougies téléchargées (→ 2021-05-23)
2026-03-19 18:01:22,910 | modules.data_loader  | INFO  |   BTC/USDT 5m — 50000 bougies téléchargées (→ 2021-06-23)
2026-03-19 18:01:23,549 | modules.data_loader  | INFO  |   BTC/USDT 5m — 51000 bougies téléchargées (→ 2021-06-27)
2026-03-19 18:01:26,019 | modules.data_loader  | INFO  |   BTC/USDT 5m — 60000 bougies téléchargées (→ 2021-07-28)
2026-03-19 18:01:26,283 | modules.data_loader  | INFO  |   BTC/USDT 5m — 61000 bougies téléchargées (→ 2021-07-31)
2026-03-19 18:01:29,004 | modules.data_loader  | INFO  |   BTC/USDT 5m — 70000 bougies téléchargées (→ 2021-09-01)
2026-03-19 18:01:29,293 | modules.data_loader  | INFO  |   BTC/USDT 5m — 71000 bougies téléchargées (→ 2021-09-04)
2026-03-19 18:01:31,795 | modules.data_loader  | INFO  |   BTC/USDT 5m — 80000 bougies téléchargées (→ 2021-10-05)
2026-03-19 18:01:32,060 | modules.data_loader  | INFO  |   BTC/USDT 5m — 81000 bougies téléchargées (→ 2021-10-09)
2026-03-19 18:01:34,727 | modules.data_loader  | INFO  |   BTC/USDT 5m — 90000 bougies téléchargées (→ 2021-11-09)
2026-03-19 18:01:34,989 | modules.data_loader  | INFO  |   BTC/USDT 5m — 91000 bougies téléchargées (→ 2021-11-12)
2026-03-19 18:01:38,821 | modules.data_loader  | INFO  |   BTC/USDT 5m — 100000 bougies téléchargées (→ 2021-12-14)
2026-03-19 18:01:39,132 | modules.data_loader  | INFO  |   BTC/USDT 5m — 101000 bougies téléchargées (→ 2021-12-17)
2026-03-19 18:01:41,585 | modules.data_loader  | INFO  |   BTC/USDT 5m — 110000 bougies téléchargées (→ 2022-01-17)
2026-03-19 18:01:41,847 | modules.data_loader  | INFO  |   BTC/USDT 5m — 111000 bougies téléchargées (→ 2022-01-21)
2026-03-19 18:01:44,436 | modules.data_loader  | INFO  |   BTC/USDT 5m — 120000 bougies téléchargées (→ 2022-02-21)
2026-03-19 18:01:44,768 | modules.data_loader  | INFO  |   BTC/USDT 5m — 121000 bougies téléchargées (→ 2022-02-25)
2026-03-19 18:01:47,298 | modules.data_loader  | INFO  |   BTC/USDT 5m — 130000 bougies téléchargées (→ 2022-03-28)
2026-03-19 18:01:47,559 | modules.data_loader  | INFO  |   BTC/USDT 5m — 131000 bougies téléchargées (→ 2022-03-31)
2026-03-19 18:01:49,990 | modules.data_loader  | INFO  |   BTC/USDT 5m — 140000 bougies téléchargées (→ 2022-05-02)
2026-03-19 18:01:50,247 | modules.data_loader  | INFO  |   BTC/USDT 5m — 141000 bougies téléchargées (→ 2022-05-05)
2026-03-19 18:01:53,545 | modules.data_loader  | INFO  |   BTC/USDT 5m — 150000 bougies téléchargées (→ 2022-06-05)
2026-03-19 18:01:53,843 | modules.data_loader  | INFO  |   BTC/USDT 5m — 151000 bougies téléchargées (→ 2022-06-09)
2026-03-19 18:01:56,211 | modules.data_loader  | INFO  |   BTC/USDT 5m — 160000 bougies téléchargées (→ 2022-07-10)
2026-03-19 18:01:56,478 | modules.data_loader  | INFO  |   BTC/USDT 5m — 161000 bougies téléchargées (→ 2022-07-14)
